'BENIDORM CHESS OPEN “A” (SUPRA 2000)'||||||||||
'Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11'||||||||||
||||||||||
'Ranking inicial   '||||||||||
'Ran.'|'Tít.'|'Nombre'|'Fed.'|'FIDE'|'Nac.'|'FIDE ID'|'ID Nac.'|'Origen/Club'|'Hotel'|'Torneo'|
'1'|'GM'|'Christiansen, Johan-Sebastian'|'NOR'|'2578'|'0'|'1512668'|'0'||'Si'|'A'|
'2'|'IM'|'Fernandez Guillen, Ernesto J.'|'CUB'|'2462'|'0'|'3512428'|'0'||'Si'|'A'|
'3'|'IM'|'Docx, Stefan'|'BEL'|'2448'|'0'|'200778'|'0'||'Si'|'A'|
'4'|'IM'|'Ajay Karthikeyan'|'IND'|'2430'|'0'|'35011685'|'0'||'No'|'A'|
'5'|'FM'|'Saydaliev, Saidakbar'|'UZB'|'2419'|'0'|'14203693'|'0'||'Si'|'A'|
'6'|'IM'|'Cruz Lledo, Pablo'|'ESP'|'2404'|'2423'|'2297361'|'20090'|'Comunidad Valenciana'|'Si'|'A'|
'7'|'IM'|'Sattarov, Bobir'|'UZB'|'2389'|'0'|'14203081'|'0'||'Si'|'A'|
'8'|'GM'|'Plaskett, H James'|'ENG'|'2365'|'2368'|'400238'|'16163'|'Comunidad Valenciana'|'No'|'A'|
'9'|'IM'|'Van Delft, Merijn'|'NED'|'2363'|'0'|'1004670'|'0'||'Si'|'A'|
'10'|'WGM'|'Nandhidhaa, P V'|'IND'|'2358'|'0'|'5050847'|'0'||'Si'|'A'|
'11'|'FM'|'Nawin J J'|'IND'|'2351'|'0'|'45031231'|'0'||'Si'|'A'|
'12'|'IM'|'Sarkar, Justin'|'USA'|'2343'|'0'|'2010011'|'0'||'No'|'A'|
'13'||'Ilamparthi A R'|'IND'|'2336'|'0'|'45015775'|'0'||'Si'|'A'|
'14'|'FM'|'Gavarrete, Nahun'|'HON'|'2325'|'2328'|'8400709'|'37757'|'Comunidad Valenciana'|'Si'|'A'|
'15'|'FM'|'Kuipers, Eelco'|'NED'|'2317'|'0'|'1002937'|'0'||'Si'|'A'|
'16'|'FM'|'Van Foreest, Machteld'|'NED'|'2309'|'0'|'1051563'|'0'||'No'|'A'|
'17'|'FM'|'Escartin Lacasa, Jose'|'ESP'|'2284'|'2297'|'32080042'|'29082'|'Aragón'|'Si'|'A'|
'18'|'FM'|'Ram Aravind L N'|'IND'|'2272'|'0'|'25033760'|'0'||'Si'|'A'|
'19'|'FM'|'Ibanez Aullana, Ramon'|'ESP'|'2270'|'2270'|'2207532'|'2880'|'Comunidad Valenciana'|'Si'|'A'|
'20'|'FM'|'Cabezas Ayala, Ivan'|'ESP'|'2259'|'2301'|'2207710'|'268'|'Extremadura'|'No'|'A'|
'21'|'WIM'|'Rakshitta Ravi'|'IND'|'2242'|'0'|'25073230'|'0'||'Si'|'A'|
'22'||'Arjun C Krishnamachari'|'IND'|'2241'|'0'|'46653252'|'0'||'Si'|'A'|
'23'|'CM'|'Rajarishi Karthi'|'IND'|'2239'|'0'|'5092523'|'0'||'Si'|'A'|
'24'|'CM'|'Ilinca Ilinca, Felix Antonio'|'ESP'|'2233'|'2271'|'54764998'|'39748'|'Comunidad Valenciana'|'No'|'A'|
'25'|'IM'|'Mannion, Stephen R'|'SCO'|'2229'|'0'|'2400111'|'0'||'Si'|'A'|
'26'|'WGM'|'Grabuzova, Tatiana'|'ESP'|'2228'|'2229'|'4108752'|'42391'|'Comunidad Valenciana'|'Si'|'A'|
'27'|'FM'|'Chernikov, Vladimir'|'UKR'|'2211'|'2215'|'14112914'|'35097'|'Comunidad Valenciana'|'Si'|'A'|
'28'|'WIM'|'Goossens, Hanne'|'BEL'|'2204'|'0'|'200468'|'0'||'No'|'A'|
'29'|'FM'|'Harshad S'|'IND'|'2202'|'0'|'46616551'|'0'||'Si'|'A'|
'30'||'Ojas Kulkarni'|'IND'|'2196'|'0'|'25040073'|'0'||'Si'|'A'|
'31'|'WIM'|'Nurmanova, Alua'|'KAZ'|'2191'|'0'|'13729390'|'0'||'Si'|'A'|
'32'||'Cherniack, Alex'|'USA'|'2188'|'0'|'2007606'|'0'||'No'|'A'|
'33'||'Levi, Netanel'|'ISR'|'2179'|'0'|'2815400'|'0'||'Si'|'A'|
'34'||'Slagboom, Leandro'|'NED'|'2177'|'0'|'1065882'|'0'||'Si'|'A'|
'35'||'Hushpit, Yaroslav'|'UKR'|'2176'|'0'|'14105462'|'0'||'Si'|'A'|
'36'|'CM'|'Fernandez Garcia, Gumersindo'|'ESP'|'2172'|'2192'|'24516740'|'29195'|'Castilla y León'|'No'|'A'|
'37'|'CM'|'Nurgaliyev, Sauat'|'KAZ'|'2150'|'0'|'13726285'|'0'||'Si'|'A'|
'38'||'Rodriguez Melendez, Juan Humbert'|'PER'|'2149'|'2168'|'3812448'|'27222'|'Madrid'|'Si'|'A'|
'39'|'WIM'|'Priyanka, K'|'IND'|'2146'|'0'|'5082986'|'0'||'Si'|'A'|
'40'||'Roe, Simon J'|'ENG'|'2146'|'0'|'401471'|'0'||'No'|'A'|
'41'|'FM'|'Garcia Callejo, Jesus'|'ESP'|'2138'|'2171'|'2200724'|'282'|'Madrid'|'Si'|'A'|
'42'||'Rodriguez Garcia, Manuel Francis'|'ESP'|'2135'|'2152'|'2218178'|'643'|'Extremadura'|'Si'|'A'|
'43'||'Gugan G'|'IND'|'2126'|'0'|'45092931'|'0'||'Si'|'A'|
'44'||'Sanroman Costas, Mauro'|'ESP'|'2123'|'2130'|'24595349'|'34441'|'Galicia'|'No'|'A'|
